Player,Pos,Age,Tm,G,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ANBA,RK,ANBARK,Year
Ömer Aşık,C,31,TOT,18,182,3.1,5.5,22.2,14.0,2.1,0.5,1.9,8.7,-0.2,0.2,-0.1,-0.021,-6.5,-1.5,-8.0,-0.3,0,0,0,2018
Luke Babbitt,SF,28,TOT,50,715,9.8,1.1,13.9,7.5,6.5,0.5,0.8,15.0,0.5,0.4,0.9,0.06,-0.9,-1.5,-2.4,-0.1,0,0,0,2018
Marco Belinelli,SG,31,TOT,80,1947,14.1,1.1,7.3,4.3,11.9,1.6,0.5,20.7,2.4,1.3,3.7,0.092,0.4,-0.8,-0.5,0.8,0,0,0,2018
Eric Bledsoe,PG,28,TOT,74,2322,19.7,2.6,11.7,7.1,25.7,3.2,1.5,26.1,3.1,2.5,5.6,0.116,2.3,0.3,2.5,2.6,0,0,0,2018
Trevor Booker,PF,30,TOT,68,1158,14.9,11.1,18.6,14.9,10.8,1.2,1.5,16.6,1.6,1.3,2.9,0.121,-0.6,0.0,-0.6,0.4,0,0,0,2018
Avery Bradley,SG,27,TOT,46,1433,9.6,1.7,7.3,4.5,10.4,1.8,0.5,23.5,-1.4,1.2,-0.2,-0.007,-3.0,-1.0,-4.0,-0.7,0,0,0,2018
Corey Brewer,SF-SG,31,TOT,72,1208,11.2,3.8,10.0,6.9,7.5,3.2,1.0,14.3,0.7,1.6,2.3,0.091,-3.2,1.9,-1.3,0.2,0,0,0,2018
Bruno Caboclo,SF,22,TOT,12,107,7.4,7.1,16.6,11.7,5.0,1.4,3.5,15.8,-0.1,0.1,0.0,-0.021,-4.8,-1.0,-5.8,-0.1,0,0,0,2018
Isaiah Canaan,PG-SG,26,TOT,20,422,13.5,1.5,10.0,5.7,26.7,1.8,0.2,18.9,0.5,0.1,0.6,0.072,-0.5,-0.7,-1.3,0.1,0,0,0,2018
Jordan Clarkson,SG,25,TOT,81,1888,16.4,3.3,9.1,6.2,19.3,1.5,0.3,26.5,1.9,1.2,3.0,0.077,1.5,-1.4,0.1,1.0,0,0,0,2018
Antonius Cleveland,SG,23,TOT,17,123,4.5,2.7,10.2,6.3,2.2,2.8,3.6,11.1,-0.2,0.2,0.0,-0.006,-7.6,2.4,-5.2,-0.1,0,1,0,2018
Jae Crowder,SF,27,TOT,80,2090,10.4,3.2,11.5,7.4,6.9,1.5,0.9,17.3,1.0,1.6,2.6,0.06,-1.9,-0.6,-2.5,-0.3,0,0,0,2018
Dante Cunningham,SF,30,TOT,73,1562,10.0,5.5,14.9,10.3,4.3,1.2,1.5,11.6,1.1,1.3,2.4,0.074,-1.5,-0.2,-1.7,0.1,0,0,0,2018
Larry Drew II,PG,27,TOT,10,70,2.9,4.8,0.0,2.3,18.5,0.0,0.0,16.6,-0.1,0.0,-0.1,-0.061,-5.6,-3.4,-9.0,-0.1,0,0,0,2018
Jarell Eddie,SF,26,TOT,3,9,-1.9,0.0,12.0,6.1,0.0,5.6,0.0,9.8,0.0,0.0,0.0,-0.142,-9.1,0.8,-8.3,0.0,0,0,0,2018
James Ennis III,SF,27,TOT,72,1604,11.6,5.1,11.0,8.0,6.6,1.5,1.0,13.7,2.0,1.1,3.1,0.092,-1.1,-0.1,-1.2,0.3,0,0,0,2018
Kay Felder,PG,22,TOT,16,140,3.6,2.3,12.0,6.9,22.0,1.0,0.6,28.4,-0.6,0.1,-0.5,-0.175,-7.7,-3.4,-11.1,-0.3,0,0,0,2018
Channing Frye,C,34,TOT,53,695,13.1,1.9,19.4,10.8,7.9,1.3,1.6,15.2,0.9,0.6,1.5,0.101,-0.5,0.0,-0.5,0.3,0,0,0,2018
Blake Griffin,PF,28,TOT,58,1970,19.6,4.1,19.8,12.0,28.1,1.0,0.8,28.9,3.2,1.8,4.9,0.12,3.6,-0.2,3.4,2.7,0,0,0,2018
Devin Harris,PG,34,TOT,71,1340,13.0,1.0,9.8,5.3,16.9,1.8,0.8,20.2,1.6,0.9,2.5,0.089,-1.5,-0.3,-1.8,0.1,0,0,0,2018
Tobias Harris,PF,25,TOT,80,2668,17.1,2.4,15.7,9.0,11.8,1.3,1.1,23.3,4.2,2.5,6.7,0.12,2.3,-0.4,1.9,2.6,0,0,0,2018
Nigel Hayes,SF,23,TOT,9,122,6.4,3.6,17.5,10.3,6.7,0.8,2.3,13.3,-0.2,0.1,-0.1,-0.034,-3.7,-0.1,-3.8,-0.1,0,1,0,2018
Willy Hernangómez,C,23,TOT,48,495,21.2,13.3,27.2,20.2,10.5,1.8,2.7,21.0,1.1,0.7,1.8,0.174,0.9,0.5,1.4,0.4,0,0,0,2018
George Hill,PG,31,TOT,67,1812,13.3,2.6,8.9,5.7,15.0,1.7,1.3,16.3,2.3,0.9,3.2,0.085,-0.2,-0.5,-0.8,0.6,0,0,0,2018
Rodney Hood,SG,25,TOT,60,1616,14.3,1.6,9.9,5.8,9.7,1.4,0.6,24.3,1.2,1.5,2.7,0.081,0.8,-0.9,-0.1,0.8,0,0,0,2018
Ersan İlyasova,PF,30,TOT,69,1729,14.9,7.6,18.0,12.9,7.9,1.7,1.3,18.7,2.2,1.9,4.0,0.112,-0.2,-0.4,-0.6,0.6,0,0,0,2018
Demetrius Jackson,PG,23,TOT,15,80,5.4,7.1,9.8,8.4,15.9,3.1,1.1,15.8,-0.2,0.1,-0.1,-0.047,-6.1,0.9,-5.2,-0.1,0,0,0,2018
Mike James,PG,27,TOT,36,687,13.9,2.0,12.2,7.0,29.4,2.0,0.8,25.1,-0.1,0.3,0.2,0.017,-0.5,-1.0,-1.5,0.1,0,1,0,2018
Brice Johnson,PF,23,TOT,18,98,18.2,10.4,25.5,17.9,3.4,4.5,5.5,22.3,0.0,0.2,0.2,0.082,-2.1,1.7,-0.4,0.0,0,0,0,2018
Joe Johnson,SF,36,TOT,55,1205,8.1,1.3,14.7,8.1,10.2,0.7,0.5,15.9,-0.3,1.3,1.0,0.04,-2.7,-0.2,-2.9,-0.3,0,0,0,2018
Derrick Jones Jr.,SF,20,TOT,20,245,10.1,9.6,7.8,8.7,5.1,0.8,4.4,12.8,0.1,0.2,0.4,0.075,-2.9,0.2,-2.7,0.0,0,0,0,2018
Jalen Jones,SF,24,TOT,16,181,10.3,7.7,15.7,11.6,3.5,1.4,0.5,20.9,0.0,0.2,0.1,0.027,-3.4,-2.6,-6.0,-0.2,0,1,0,2018
