Player,Pos,Age,Tm,G,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ANBA,RK,ANBARK,Year
Precious Achiuwa,PF-C,24,TOT,74,1624,14.6,13.0,20.5,16.7,8.4,1.4,3.9,15.9,1.2,2.2,3.4,0.102,-1.7,0.3,-1.4,0.2,0,0,0,2024
Ochai Agbaji,SG,23,TOT,78,1641,7.7,4.9,9.6,7.2,6.6,1.4,2.4,13.4,-0.5,0.6,0.1,0.002,-3.5,-0.9,-4.4,-1.0,0,0,0,2024
OG Anunoby,SF,26,TOT,50,1702,12.8,3.0,10.6,6.8,9.0,2.0,1.9,17.6,1.1,1.5,2.6,0.073,-1.0,0.5,-0.6,0.6,0,0,0,2024
Marvin Bagley III,C,24,TOT,50,1053,19.4,13.1,19.2,16.1,8.1,0.9,2.6,21.0,2.0,0.7,2.7,0.122,1.0,-1.4,-0.4,0.4,0,0,0,2024
Dalano Banton,PG,24,TOT,54,1047,13.3,4.2,15.2,9.5,19.4,1.6,1.7,25.7,-0.4,0.9,0.5,0.024,-0.7,-0.6,-1.3,0.2,0,0,0,2024
RJ Barrett,SG,23,TOT,58,1838,16.4,3.1,16.0,9.5,16.7,0.8,1.1,26.5,1.6,1.2,2.9,0.075,0.7,-1.5,-0.8,0.6,0,0,0,2024
Keita Bates-Diop,SF,28,TOT,53,665,11.5,5.5,12.8,9.3,7.4,1.8,2.9,13.0,0.5,0.8,1.3,0.091,-1.5,0.4,-1.0,0.2,0,0,0,2024
Nicolas Batum,PF,35,TOT,60,1529,10.2,5.0,13.1,9.0,10.7,1.5,2.3,8.6,1.7,1.6,3.3,0.103,-1.3,0.8,-0.4,0.6,0,0,0,2024
Darius Bazley,PF,23,TOT,9,152,13.9,5.8,14.4,10.1,6.0,1.9,4.1,11.9,0.2,0.1,0.3,0.084,-0.9,0.5,-0.4,0.1,0,0,0,2024
Dāvis Bertāns,PF,31,TOT,43,674,11.6,1.5,8.8,5.1,7.2,1.9,1.7,17.4,0.5,0.4,0.9,0.061,-0.8,-0.6,-1.4,0.1,0,0,0,2024
